insurer,fy,total_premium_cr,fyp_cr,renewal_cr,single_cr,gross_comm_cr,comm_fyp_cr,comm_renewal_cr,comm_single_cr,total_acq_cost_cr,new_policies,cac_per_policy_rs,persistency_13m_pct,persistency_61m_pct,lapse_rate_13m_pct,banca_pct,source_premium,source_commission,source_persistency
HDFC Life,FY2025,71045,12976,37680,20389,7835,5860,590,1385,8380,698000,113740,87.0,63.0,13.0,65.0,IRDAI Form L-4 March 2025,IRDAI Form L-5 March 2025,HDFC Life FY2025 Press Release Apr 17 2025
SUD Life,FY2025,8260,1345,4025,2890,532,292,134,106,664,36853,180200,77.7,23.2,22.3,95.6,IRDAI Form L-4 March 2025,IRDAI Form L-5 March 2025,ICRA Rating Report July 22 2025
Max Life,FY2025,15301,2896,13223,625,1852,1308,450,94,5734,752936,76150,87.6,59.3,12.4,59.0,IRDAI Form L-4 March 2025,IRDAI Form L-5 March 2025,Press Release May 23 2025
